Input,Result
"A small number of social media platforms are acquiring immense power over what we can see and over what we are allowed to say. A permanent political class is openly disdainful, dismissive, and defiant of the will of the people. A faceless bureaucracy operates in secret and weakens democratic rule. Media and academic institutions push flat-out assaults on our histories, traditions, and values.",no
"And whether it's Kate Steinle or so many others, they'd be around today if these people weren't allowed back into our country through, in this case, the southern border, at least five times. And look at the damage, and then look at this verdict. Look at the verdict. Can you believe the verdict?",yes
"But, for now, the best advice that we can give for people is to speak to their doctor, as the President just said. And if the doctor indicates, that physician--if it's not a university hospital or otherwise authorized lab--can contact the state lab. And, again, every state lab in the country can perform tests today.",yes
"As long as you remain loyal, faithful, and true, then our enemies don't even stand a chance, our rights will never be stolen, our freedoms will never be trampled, our destiny will never be denied, and the United States of America will never be defeated. With the grace of God and the heroes of West Point, America will always prevail. Nothing will stand in your way, nothing will slow you down, and nothing will stop the West Point Class of 2020 from achieving a true and lasting victory.",yes
"The NIH, CDC, and FDA are also currently validating several antibody tests that will allow us to determine whether someone has already had the virus and potentially become immune to infection. We're looking at that. The antibody tests are going to be very interesting, over the next short while. A lot of things are being developed, as we speak.",yes
"Good afternoon everybody. My name is Bill Bryan and I lead the Science and Technology Directorate at the U. S. Department of Homeland Security. Over the last several months, we've intensified the Department's R&amp;D efforts to identify and deliver information that informs our response to COVID-19. S&amp;T is working to identify, develop, deploy, and deploy the tools and information to support our response to this crisis.",no
"No, they say worse; they say negative. They say negative. They're going to make the vaccine into a negative so that when we have it--and I spoke to the head of Pfizer, I spoke to the head of Johnson &amp; Johnson, I spoke to the head of the greatest medical companies in the world. We're doing great. We're going to have it soon.",yes
"Likewise, we are restoring our nation's manufacturing might, even though predictions were, as you all know, that this could never, ever be done. After losing 60,000 factories under the previous two administrations, America has now gained 12,000 new factories under my administration, with thousands upon thousands of plants and factories being planned or being built. Companies are not leaving; they are coming back to the USA. The fact is that everybody wants to be where the action is, and the United States of America is indeed the place where the action is.",yes
"At the same time, we know that mortality and the fatalities that we're facing across the United States continue. We know the number of people who are still in the hospitals in the ICUs, and we want to continue to recognize the healthcare workers who are on the frontlines, and really recognize how low the United States case fatality rates are, compared to other countries. And this is really due not only to our technology, but how that technology is utilized to save lives.",yes
"So when I got $700 billion, and then $716 billion -- and this year, it's going to be pretty big too, because there's few things more important than our military. You know, I'm a big deficit believer and all of that, but before we really start focusing on certain things, we have to build up our military. It was very badly depleted. And we're buying all new jetfighters, all new missiles, all new defensive equipment. We have -- we'll soon have a military like we've never had before.",yes
"Today, I am proudly announcing six brand-new initiatives to propel this new era of American energy dominance. First, we will begin to revive and expand our nuclear energy sector--which I'm so happy about--which produces clean, renewable and emissions-free energy. A complete review of U. S. nuclear energy policy will help us find new ways to revitalize this crucial energy resource. And I know you're very excited about that, Rick.",yes
"And what you're seeing now with this order is that we're going to be able to remove the constraints so that people at the state and the local level--the individual physician all the way up through the federal government--will have as many constraints as possible removed for them to do everything they possibly can so that we can implement the things that we've been talking about--the containment, the mitigation--so that, as I've said many times, that curve that I referred to that goes up, we don't want to have that curve. We want to suppress it down to that small mound.",yes
"The ongoing tragedy in Syria is heartbreaking. Our shared goals must be the de-escalation of military conflict, along with a political solution that honors the will of the Syrian people. In this vein, we urge the United Nations-led peace process be reinvigorated. But, rest assured, the United States will respond if chemical weapons are deployed by the Assad regime.",no
"Together with millions of hardworking patriots across this land, we built the greatest political movement in the history of our country. We also built the greatest economy in the history of the world. It was about ""America First"" because we all wanted to make America great again. We restored the principle that a nation exists to serve its citizens. Our agenda was not about right or left, it wasn't about Republican or Democrat, but about the good of a nation, and that means the whole nation.",yes
"It's been a horrible time to see such death and destruction, especially when you come out of what was the greatest economy in the history of the world. The greatest. There's never been an economy like what we had produced, but we'll produce it again. And I think we'll produce it again very fast.",yes
"It was that same yearning for freedom that nearly 250 years ago gave birth to a special place called America. It was a small cluster of colonies caught between a great ocean and a vast wilderness. But it was home to an incredible people with a revolutionary idea: that they could rule themselves. That they could chart their own destiny. And that, together, they could light up the world.",no
"Through four long years, you have honed your skills, trained your mind and body, overcome every obstacle, and earned your place of pride in the Long Gray Line. You made it through the rigors of R-Day and Beast, the intensity of CLDT, and weeks of training in the blistering heat. You have pushed yourselves far beyond every limit imaginable.",no
"I was in Vietnam, and the Prime Minister and the President of Vietnam were there. And we have a massive deficit with them, like we do with everybody else because these Presidents have just let it go to hell. We have the worst trade deals you've ever seen. So we're changing it.",yes
"So I can only tell you what I know and what my recommendations were. But, clearly, as happens all the time, there were interpretations of that response to a hypothetical question that I just thought it would be very nice for me to clarify because I didn't have the chance to clarify.",yes
Jobs and companies are coming back to our country like never before. The power of tariffs being imposed on foreign lands that took advantage of the United States for decades and decades have enabled us to make great trade deals where there were none. Tens of billions of dollars are now paid to the United States Treasury by the same countries.,yes
"And I don't think--I don't know who gave the orders to stop in Vietnam. But they stopped in Vietnam and all of a sudden they get on, and now you have over 500 sailors and--and people on the ship that are affected. I don't know whose idea that was, but that wasn't such a good idea in the middle of a pandemic.",yes
"Interestingly, we were just talking, I was talking to Doug, and the numbers they're doing from the retailing standpoint, I guess, because of this, your business is like the opposite. All of you have done--you've been selling a lot of--a lot of stuff. Do you want to answer the question, as to the hand sanitizers?",yes
"But let me just tell you--wait. And what they're doing, because they think it is going fast. And if you talk to a lot of your sources--if you have sources--if you talk to your sources in the FDA, you'll see it's going very, very well. The numbers are looking unbelievably strong, unbelievably good.",yes
"I want to thank Deborah Birx, and I want to ask her maybe to come up and say a few words as to what's happening. Dr. Birx is a highly respected person. I've gotten to know her very well over the last six days. And what we've done is rebuild something that was very old, very old-fashioned, somewhat obsolete. Certainly obsolete when it comes to the kind of numbers that we're talking about.",yes
"Last year, 70,000 Americans were killed, at least -- I think the number is ridiculously low -- by drugs, including meth and heroin and cocaine, fentanyl. And one of the things that I did with President Xi in China, when I met him in Argentina at a summit -- before I even started talking about the trade -- it was a trade meeting. It went very well, but before I talked about trade, I talked about something more important.",yes
"A safe and phased reopening of our economy--it's very exciting, but it does not mean that we are letting down our guard at all, in any way. On the contrary, continued diligence is an essential part of our strategy to get our country back to work, to take our country back. We're winning this, and we're going to win it, and we're going to keep watching. We're going to watch very closely for the invisible enemy.",yes
"Evelyn, Elizabeth, Freddy, and Robert: Tonight, everyone in this chamber is praying for you. Everyone in America is grieving for you. And 320 million hearts are breaking for you. We cannot imagine the depth of your sorrow, but we can make sure that other families never have to endure this pain.",no
"I have to say that, very excitingly, we're going to have somebody up; Bill will be up in just a little while. It was a great report you gave. And he's going to be talking about how the virus reacts in sunlight. Wait until you hear the numbers. You won't even believe them.",yes
"She saw it very early on, and we have -- I don't know if we have other senators here, but we got a hell of a lot of congressmen. And I'll go over them quickly, but they have -- they have also been -- you know, it helped when we won 197 to nothing. That's got to be a first, Kevin. Right? Is that, like, a first?",yes
"With every action, my administration is restoring the rule of law and reasserting the culture of American freedom. Working with Senate Majority Leader Mitch McConnell--thank you, Mitch--and his colleagues in the Senate, we have confirmed a record number of 187 new federal judges to uphold our Constitution as written. This includes two brilliant new Supreme Court justices, Neil Gorsuch and Brett Kavanaugh. Thank you. And we have many in the pipeline.",yes
"But a tremendous thing was done over the last number of months, but really, if you go back to it, over the last number of years. We had the witch hunt. It started from the day we came down the elevator, myself and our future First Lady, who's with us right now. Thank you, Melania.",yes
"Well, I don't know that I had exposure, but I don't have any of the symptoms. And we do have a White House doctor and, I should say, many White House doctors, frankly. And I asked them that same question, and they said, ""You don't have any symptoms whatsoever."" And we don't want people without symptoms to go and do the test. The test is not insignificant.",yes
"The Iranian government masks a corrupt dictatorship behind the false guise of a democracy. It has turned a wealthy country with a rich history and culture into an economically depleted rogue state whose chief exports are violence, bloodshed, and chaos. The longest-suffering victims of Iran's leaders are, in fact, its own people.",no
"I'm the one that find them. I'm the one that settled it. Over a billion dollars. And President Xi called me and he said it would be important to him if they could get a deal. And we made a deal -- paid -- like, in a short period of time.",yes
"The core rights and values America defends today were inscribed in America's founding documents. Our nation's Founders understood that there will always be those who believe they are entitled to wield power and control over others. Tyranny advances under many names and many theories, but it always comes down to the desire for domination. It protects not the interests of many, but the privilege of few.",no
"We'll continue our historic regulatory reduction campaign. We've--as you know, in three and a half years, we've cut more regulations than any other administration, no matter how long, no matter what period of time you're talking about. We'll enact fair trade deals, and we're working on seven major fair trade deals right now. And when I say ""fair,"" fair to our country--because our country was ripped off by every nation. Friend, foe, didn't matter: Every nation was ripping us off at a level that it's just unbelievable, to be honest.",yes
